NOMBRE,PAIS,Pies,GLA,GLO,MLA,SLA,MLO,SLO
Nevado Ojos del Salado, Argentina Chile,22 608,27,68,06,35,32,29
Monte Pissis, Argentina,22 293,27,68,45,16.6,47,55.8
Cerro Bonete Chico, Argentina,22 175,27,68,52,0,49,0
Nevado Tres Cruces Sur, Argentina Chile,22 139,27,68,05,53,46,41
Volcán Llullaillaco, Argentina Chile,22 109,24,68,43,47,32,45
Volcán Walther Penck, Argentina,21 843,27,68,12,0,33,0
Volcán Incahuasi, Argentina Chile,21 778,27,68,02,0,18,0
Nevado Tres Cruces Central, Argentina Chile,21 749,27,68,04,07,47,11
Volcán Tupungato, Argentina Chile,21 555,33,69,21,21,46,10.2
Nevado Sajama, Bolivia,21 463,18,68,06,14,52,53
Volcán Ata, Argentina Chile,21 328,27,68,10,55,34,34
